Episode 0/500 | Reward: 33.0 | Epsilon: 0.990
Episode 1/500 | Reward: 95.0 | Epsilon: 0.980
Episode 2/500 | Reward: 87.0 | Epsilon: 0.970
Episode 3/500 | Reward: 37.0 | Epsilon: 0.961
Episode 4/500 | Reward: 1.0 | Epsilon: 0.951
Episode 5/500 | Reward: -129.0 | Epsilon: 0.941
Episode 6/500 | Reward: -390.0 | Epsilon: 0.932
Episode 7/500 | Reward: -360.0 | Epsilon: 0.923
Episode 8/500 | Reward: 95.0 | Epsilon: 0.914
Episode 9/500 | Reward: 2.0 | Epsilon: 0.904
Episode 10/500 | Reward: -385.0 | Epsilon: 0.895
Episode 11/500 | Reward: 58.0 | Epsilon: 0.886
Episode 12/500 | Reward: -70.0 | Epsilon: 0.878
Episode 13/500 | Reward: 91.0 | Epsilon: 0.869
Episode 14/500 | Reward: 67.0 | Epsilon: 0.860
Episode 15/500 | Reward: -28.0 | Epsilon: 0.851
Episode 16/500 | Reward: 95.0 | Epsilon: 0.843
Episode 17/500 | Reward: 95.0 | Epsilon: 0.835
Episode 18/500 | Reward: 91.0 | Epsilon: 0.826
Episode 19/500 | Reward: 95.0 | Epsilon: 0.818
Episode 20/500 | Reward: 0.0 | Epsilon: 0.810
Episode 21/500 | Reward: -142.0 | Epsilon: 0.802
Episode 22/500 | Reward: -258.0 | Epsilon: 0.794
Episode 23/500 | Reward: 91.0 | Epsilon: 0.786
Episode 24/500 | Reward: -370.0 | Epsilon: 0.778
Episode 25/500 | Reward: -82.0 | Epsilon: 0.770
Episode 26/500 | Reward: 95.0 | Epsilon: 0.762
Episode 27/500 | Reward: 95.0 | Epsilon: 0.755
Episode 28/500 | Reward: 79.0 | Epsilon: 0.747
Episode 29/500 | Reward: -145.0 | Epsilon: 0.740
Episode 30/500 | Reward: -355.0 | Epsilon: 0.732
Episode 31/500 | Reward: -98.0 | Epsilon: 0.725
Episode 32/500 | Reward: 15.0 | Epsilon: 0.718
Episode 33/500 | Reward: 91.0 | Epsilon: 0.711
Episode 34/500 | Reward: -360.0 | Epsilon: 0.703
Episode 35/500 | Reward: 91.0 | Epsilon: 0.696
Episode 36/500 | Reward: -355.0 | Epsilon: 0.689
Episode 37/500 | Reward: 76.0 | Epsilon: 0.683
Episode 38/500 | Reward: -360.0 | Epsilon: 0.676
Episode 39/500 | Reward: 76.0 | Epsilon: 0.669
Episode 40/500 | Reward: 71.0 | Epsilon: 0.662
Episode 41/500 | Reward: -365.0 | Epsilon: 0.656
Episode 42/500 | Reward: -65.0 | Epsilon: 0.649
Episode 43/500 | Reward: 1.0 | Epsilon: 0.643
Episode 44/500 | Reward: 37.0 | Epsilon: 0.636
Episode 45/500 | Reward: -350.0 | Epsilon: 0.630
Episode 46/500 | Reward: 66.0 | Epsilon: 0.624
Episode 47/500 | Reward: -345.0 | Epsilon: 0.617
Episode 48/500 | Reward: -360.0 | Epsilon: 0.611
Episode 49/500 | Reward: -345.0 | Epsilon: 0.605
Episode 50/500 | Reward: -51.0 | Epsilon: 0.599
💾 Checkpoint sauvegardé : models/doom_dqn_ep50.pth
Episode 51/500 | Reward: 83.0 | Epsilon: 0.593
Episode 52/500 | Reward: 95.0 | Epsilon: 0.587
Episode 53/500 | Reward: 95.0 | Epsilon: 0.581
Episode 54/500 | Reward: 47.0 | Epsilon: 0.575
Episode 55/500 | Reward: -44.0 | Epsilon: 0.570
Episode 56/500 | Reward: 71.0 | Epsilon: 0.564
Episode 57/500 | Reward: -350.0 | Epsilon: 0.558
Episode 58/500 | Reward: 95.0 | Epsilon: 0.553
Episode 59/500 | Reward: -72.0 | Epsilon: 0.547
Episode 60/500 | Reward: -247.0 | Epsilon: 0.542
Episode 61/500 | Reward: 87.0 | Epsilon: 0.536
Episode 62/500 | Reward: 27.0 | Epsilon: 0.531
Episode 63/500 | Reward: -355.0 | Epsilon: 0.526
Episode 64/500 | Reward: -325.0 | Epsilon: 0.520
Episode 65/500 | Reward: -116.0 | Epsilon: 0.515
Episode 66/500 | Reward: -340.0 | Epsilon: 0.510
