Episode 0/1000 | Reward: -4.2 | Epsilon: 0.990
Episode 1/1000 | Reward: -123.7 | Epsilon: 0.980
Episode 2/1000 | Reward: -19.6 | Epsilon: 0.970
Episode 3/1000 | Reward: -102.2 | Epsilon: 0.961
Episode 4/1000 | Reward: -9.5 | Epsilon: 0.951
Episode 5/1000 | Reward: -4.0 | Epsilon: 0.941
Episode 6/1000 | Reward: -19.3 | Epsilon: 0.932
Episode 7/1000 | Reward: -4.1 | Epsilon: 0.923
Episode 8/1000 | Reward: -4.5 | Epsilon: 0.914
Episode 9/1000 | Reward: -4.0 | Epsilon: 0.904
Episode 10/1000 | Reward: -4.1 | Epsilon: 0.895
Episode 11/1000 | Reward: -4.1 | Epsilon: 0.886
Episode 12/1000 | Reward: -24.7 | Epsilon: 0.878
Episode 13/1000 | Reward: -91.7 | Epsilon: 0.869
Episode 14/1000 | Reward: -113.6 | Epsilon: 0.860
Episode 15/1000 | Reward: -118.7 | Epsilon: 0.851
Episode 16/1000 | Reward: -4.3 | Epsilon: 0.843
Episode 17/1000 | Reward: -4.1 | Epsilon: 0.835
Episode 18/1000 | Reward: -14.5 | Epsilon: 0.826
Episode 19/1000 | Reward: -92.4 | Epsilon: 0.818
Episode 20/1000 | Reward: -4.3 | Epsilon: 0.810
Episode 21/1000 | Reward: -4.1 | Epsilon: 0.802
Episode 22/1000 | Reward: -70.9 | Epsilon: 0.794
Episode 23/1000 | Reward: -98.7 | Epsilon: 0.786
Episode 24/1000 | Reward: -4.1 | Epsilon: 0.778
Episode 25/1000 | Reward: -4.1 | Epsilon: 0.770
Episode 26/1000 | Reward: -14.7 | Epsilon: 0.762
Episode 27/1000 | Reward: -63.5 | Epsilon: 0.755
Episode 28/1000 | Reward: -118.8 | Epsilon: 0.747
Episode 29/1000 | Reward: -9.4 | Epsilon: 0.740
Episode 30/1000 | Reward: -9.7 | Epsilon: 0.732
Episode 31/1000 | Reward: -61.6 | Epsilon: 0.725
Episode 32/1000 | Reward: -58.4 | Epsilon: 0.718
Episode 33/1000 | Reward: -93.6 | Epsilon: 0.711
Episode 34/1000 | Reward: -4.6 | Epsilon: 0.703
Episode 35/1000 | Reward: -4.1 | Epsilon: 0.696
Episode 36/1000 | Reward: -19.5 | Epsilon: 0.689
Episode 37/1000 | Reward: -30.7 | Epsilon: 0.683
Episode 38/1000 | Reward: -29.9 | Epsilon: 0.676
Episode 39/1000 | Reward: -9.6 | Epsilon: 0.669
Episode 40/1000 | Reward: -14.7 | Epsilon: 0.662
Episode 41/1000 | Reward: -98.6 | Epsilon: 0.656
Episode 42/1000 | Reward: -77.0 | Epsilon: 0.649
Episode 43/1000 | Reward: -83.6 | Epsilon: 0.643
Episode 44/1000 | Reward: -14.4 | Epsilon: 0.636
Episode 45/1000 | Reward: -4.1 | Epsilon: 0.630
Episode 46/1000 | Reward: -4.3 | Epsilon: 0.624
Episode 47/1000 | Reward: -9.3 | Epsilon: 0.617
Episode 48/1000 | Reward: -98.6 | Epsilon: 0.611
Episode 49/1000 | Reward: -4.0 | Epsilon: 0.605
Episode 50/1000 | Reward: -51.1 | Epsilon: 0.599
💾 Checkpoint sauvegardé : models/doom_dqn_ep50.pth
Episode 51/1000 | Reward: -78.5 | Epsilon: 0.593
Episode 52/1000 | Reward: -62.0 | Epsilon: 0.587
Episode 53/1000 | Reward: -78.5 | Epsilon: 0.581
Episode 54/1000 | Reward: -20.0 | Epsilon: 0.575
Episode 55/1000 | Reward: -19.6 | Epsilon: 0.570
Episode 56/1000 | Reward: -4.0 | Epsilon: 0.564
Episode 57/1000 | Reward: -19.9 | Epsilon: 0.558
Episode 58/1000 | Reward: -4.0 | Epsilon: 0.553
Episode 59/1000 | Reward: -9.6 | Epsilon: 0.547
Episode 60/1000 | Reward: -4.4 | Epsilon: 0.542
Episode 61/1000 | Reward: -9.4 | Epsilon: 0.536
Episode 62/1000 | Reward: -15.2 | Epsilon: 0.531
Episode 63/1000 | Reward: -4.1 | Epsilon: 0.526
Episode 64/1000 | Reward: -78.6 | Epsilon: 0.520
Episode 65/1000 | Reward: -9.3 | Epsilon: 0.515
Episode 66/1000 | Reward: -4.1 | Epsilon: 0.510
Episode 67/1000 | Reward: -10.6 | Epsilon: 0.505
Episode 68/1000 | Reward: -4.0 | Epsilon: 0.500
Episode 69/1000 | Reward: -68.4 | Epsilon: 0.495
Episode 70/1000 | Reward: -78.6 | Epsilon: 0.490
Episode 71/1000 | Reward: -4.3 | Epsilon: 0.485
Episode 72/1000 | Reward: -41.3 | Epsilon: 0.480
Episode 73/1000 | Reward: -9.4 | Epsilon: 0.475
Episode 74/1000 | Reward: -4.9 | Epsilon: 0.471
